Days of the week,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 books,1980s mystery novel stubs,American novellas,Simon Templar books,The Crime Club books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Districts of the Huacaybamba Province,Districts of the Huánuco Region,Huánuco Region geography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American folk musical groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Populated places in Bajhang District,Seti Zone geography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardens in Ibaraki Prefecture,Gardens in Japan,Ibaraki geography stubs,"Mito, Ibaraki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s album stubs,2009 albums,Bluegrass albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989 births,21st-century American musicians,21st-century male musicians,21st-century violinists,African-American musicians,American male violinists,American violinists,Hip hop violinists,Living people,"Musicians from Charleston, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 births,American columnists,American libertarians,American magazine editors,American male non-fiction writers,American non-fiction environmental writers,American political writers,American transhumanists,Competitive Enterprise Institute,Harvard University people,Journalists from Virginia,Living people,"People from Charlottesville, Virginia","People from Washington County, Virginia",University of Virginia alumni,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 debut albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 establishments in Idaho,"Buildings and structures in Idaho Falls, Idaho",Idaho Registered Historic Place stubs,Idaho building and structure stubs,"National Register of Historic Places in Bonneville County, Idaho",School buildings completed in 1927,School buildings on the National Register of Historic Places in Idaho,"Schools in Bonneville County, Idaho",Swedish-American culture in Idaho,Swedish-American history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 in China,1909 in international relations,1909 in law,20th-century diplomatic conferences,Diplomatic conferences in China,Drug control treaties,Drug policy organizations,History of Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS objects,Durchmusterung objects,Henry Draper Catalogue objects,Hipparcos objects,M-type supergiants,Objects with variable star designations,Scorpius (constellation),Semiregular variable stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889 births,1960 deaths,20th-century male musicians,20th-century pianists,American male musicians,American musicians,American people of German descent,German emigrants to the United States,German male pianists,German musician stubs,German pianists,Michigan State University faculty,Pianist stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Cubs lists,Major League Baseball team records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s in Nottinghamshire,2006 English local elections,Bassetlaw District Council elections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Indonesian television series debuts,GTV (Indonesia) shows,Indonesian reality television series,Indosiar shows,RCTI shows,The Voice Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertility,Mammalian pregnancy,Theriogenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acari stubs,Animals described in 1794,Ixodidae,Parasitic arthropods of mammals,Ticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churches in Seattle,Churches on the National Register of Historic Places in Washington (state),Episcopal churches in Washington (state),"First Hill, Seattle",National Register of Historic Places in Seattle,Trinity Parish Church (Seattle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 births,Living people,Macedonian male handball players,Sportspeople from Skopje,Twin people from North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association football in Denmark lists,Denmark international footballers,Lists of Danish footballers,Lists of association football players by national team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s British film stubs,2009 films,British films,British independent films,English-language films,Films set in the Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constituencies in Bungoma County,Kenya geography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Louis County, Minnesota geography stubs",Unincorporated communities in Minnesota,"Unincorporated communities in St. Louis County, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862 establishments in Norway,Norwegian railway station stubs,Railway stations in Fet,Railway stations on the Kongsvinger Line,Railway stations opened in 1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumni of the Mountview Academy of Theatre Arts,British musical theatre actresses,Laurence Olivier Award winners,Living people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975 British television episodes,Fawlty Towers episodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973 in sports in Washington, D.C.",1973–74 NBA season,"1974 in sports in Washington, D.C.",Washington Wizards seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newport, Shropshire",Shropshire geography stubs,Telford and Wrekin,Villages in Shropshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 births,1986 deaths,20th-century Russian short story writers,20th-century male writers,Burials at Novodevichy Cemetery,Communist Party of the Soviet Union members,Heroes of Socialist Labour,Magazine editors,People from Kherson Governorate,People from Odessa,People of the Russian Civil War,Pseudonymous writers,Recipients of the Cross of St. George,Recipients of the Order of Friendship of Peoples,Recipients of the Order of Lenin,"Recipients of the Order of St. Anna, 4th class",Russian dramatists and playwrights,Russian humour,Russian male dramatists and playwrights,Russian male novelists,Russian male short story writers,Russian military personnel of World War I,Soviet dramatists and playwrights,Soviet male writers,Soviet novelists,Soviet short story writers,,,,,,,,,,,,,,,,
1750 births,1830 deaths,"Alumni of Christ Church, Oxford",Alumni of Trinity College Dublin,Anglo-Irish people,Deans of Armagh,Irish Anglicans,Members of the Irish House of Lords,Viscounts in the Peerage of Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American architect stubs,American women architects,Living people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deception,Poker gameplay and terminology,Poker strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian-language surnames,Surnames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lists of plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphibians described in 1991,Amphibians of Colombia,Amphibians of Ecuador,Amphibians of the Andes,Craugastoridae stubs,IUCN Red List near threatened species,Pristimantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 births,1948 deaths,20th-century Dutch civil servants,20th-century Dutch educators,20th-century Dutch jurists,20th-century Dutch lawyers,20th-century Dutch male writers,20th-century Dutch politicians,20th-century Dutch scientists,Catholic People's Party politicians,Commanders of the Order of Orange-Nassau,Delft University of Technology faculty,Dutch Roman Catholics,Dutch academic administrators,Dutch legal scholars,Dutch legal writers,Dutch magazine editors,Dutch newspaper editors,Dutch nonprofit directors,Dutch nonprofit executives,Dutch political party founders,Dutch political writers,Dutch politician stubs,Dutch prosecutors,General League of Roman Catholic Caucuses politicians,Knights of the Order of the Netherlands Lion,Labour law scholars,Law and economics scholars,Leiden University alumni,Leiden University faculty,Members of the Council of State (Netherlands),Members of the House of Representatives (Netherlands),Ministers of Economic Affairs of the Netherlands,Ministers of Social Affairs of the Netherlands,Ministers of State (Netherlands),Municipal councillors of Leiden,People from The Hague,Roman Catholic State Party politicians,Scholars of administrative law,Scouting and Guiding in the Netherlands,Speakers of the House of Representatives (Netherlands),Writers from The Hague
1947 disestablishments in Australia,1947 establishments in Australia,Australian Labor Party ministries in New South Wales,New South Wales ministries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987 births,Association football midfielders,FK Mladost Lučani players,FK Sloboda Užice players,Living people,Serbian SuperLiga players,Serbian football forward stubs,Serbian footballers,Sportspeople from Užice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromeliaceae species,Flora of Brazil,Neoregelia,Neoregelia stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876 births,1954 deaths,British female fencers,British fencing biography stubs,Fencers at the 1924 Summer Olympics,Olympic fencers of Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botanical gardens in Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta's Rockies,Canadian Rockies,Mountains of Alberta,Mountains of Banff National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 songs,2010s ballads,Katy Perry songs,Pop ballads,Song recordings produced by Greg Wells,Songs written by Greg Wells,Songs written by Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966 United States House of Representatives elections,1966 Virginia elections,United States House of Representatives elections in Virginia,Virginia election stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalan cuisine,Catalan folklore,Cocktails with rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities and towns in Veneto,Communes of the Province of Verona,Veneto geography stubs,Wine regions of Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798 births,1864 deaths,Knights Commander of the Order of the Bath,Royal Navy admirals,Royal Navy personnel of the Crimean War,Royal Navy personnel stubs,Stopford family,Younger sons of earls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G protein-coupled receptors,Genes on human chromosome 12,Human chromosome 12 gene stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 singles,2014 singles,Billboard Adult Contemporary number-one singles,Billboard Adult Top 40 number-one singles,Billboard Hot 100 number-one singles,Billboard Mainstream Top 40 (Pop Songs) number-one singles,Canadian pop songs,Debut singles,Juno Award for Single of the Year singles,Magic! songs,Number-one singles in Poland,Number-one singles in Scotland,Reggae fusion songs,UK Singles Chart number-one singles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 establishments in Georgia (U.S. state),2015 disestablishments in Georgia (U.S. state),Baseball teams established in 1984,Defunct South Atlantic League teams,Los Angeles Dodgers minor league affiliates,Montreal Expos minor league affiliates,New York Mets minor league affiliates,Professional baseball teams in Georgia (U.S. state),Sports clubs disestablished in 2015,"Sports in Savannah, Georgia",St. Louis Cardinals minor league affiliates,Texas Rangers minor league affiliates,Washington Nationals minor league affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 births,American male screenwriters,American people of Irish descent,American people of Jewish descent,American television writers,Chicago (franchise),Edgar Award winners,Emmy Award winners,International Emmy Founders Award winners,Law & Order (franchise),Living people,Male television writers,Phillips Academy alumni,Screenwriters from New York (state),Showrunners,Television producers from New York City,The Gunnery alumni,University of Pennsylvania alumni,Writers from New York City,,,,,,,,,,,,,,,,,,,,,,,
1990 live albums,Death Angel albums,Enigma Records live albums,Live thrash metal albums,Thrash metal album stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 establishments in Uzbekistan,Communications in Uzbekistan,Science and technology in Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833 births,1885 deaths,19th-century Italian people,19th-century Italian women,Burials in Italy,Mistresses of Italian royalty,Morganatic spouses,People from Nice,Victor Emmanuel II of Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO 639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sochaczew County geography stubs,Villages in Sochaczew County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838 births,1928 deaths,"Alumni of Trinity College, Cambridge",English Queen's Counsel,English judges,English male rowers,Knights Bachelor,Members of the Judicial Committee of the Privy Council,Members of the Privy Council of the United Kingdom,People educated at Harrow School,Queen's Bench Division judges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th-century biblical manuscripts,Greek New Testament minuscules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 births,1975 deaths,Chilean people stubs,Chilean politician stubs,Chilean psychiatrists,Members of the Chamber of Deputies of Chile,People killed in Operation Condor,Socialist Party of Chile politicians,South American medical biography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990s rock song stubs,1997 singles,1997 songs,Songs written by Izumi Sakai,Songs written by Tetsurō Oda,Zard songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 births,Albanian nationalists in Kosovo,Chairmen of the Assembly of the Republic of Kosovo,Democratic Party of Kosovo politicians,Kosovo Albanians,Kosovo Liberation Army soldiers,Living people,People from Glogovac,Presidents of Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 films,Dutch-language films,Dutch film stubs,Dutch films,Films based on Dutch novels,Films set in the Netherlands,Netherlands in fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 births,1953 deaths,Hungarian aviators,Hungarian people stubs,People from Kistarcsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857 ships,Maritime incidents in 1881,Passenger ships of New Zealand,Ships built in Quebec,Shipwrecks in the Gulf of Saint Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buildings and structures in Springfield, Illinois",Concert halls in Illinois,Event venues established in 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898 births,1988 deaths,Nordic combined skiers at the 1928 Winter Olympics,Olympic Nordic combined skiers of Switzerland,Swiss male Nordic combined skiers,Swiss ski jumping biography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 births,Chess woman grandmasters,Knights of the Order of Polonia Restituta,Living people,Polish chess biography stubs,Polish female chess players,Recipients of the Silver Cross of Merit (Poland),Sportspeople from Poznań,World Senior Chess Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985 albums,Black Saint/Soul Note live albums,Joe Lovano albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 births,1997 deaths,20th-century American women writers,"People from Lubbock, Texas",Writers from Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American anti-fascists,Musical groups established in 1984,Oi! groups,Punk rock groups from New York (state),United States punk musical group stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf races in Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685 births,1739 deaths,English merchants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900s elections in Ireland,1906 elections in the United Kingdom,1906 in Ireland,By-elections to the Parliament of the United Kingdom in County Galway constituencies,By-elections to the Parliament of the United Kingdom in Irish constituency stubs,Politics of Galway (city),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 births,British people of English descent,Daughters of British marquesses,English humanitarians,English people of German-Jewish descent,English people of Portuguese-Jewish descent,Living people,People educated at Westonbirt School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islands of the Ohio River,"Landforms of Mason County, West Virginia",Metro Valley geography stubs,River islands of West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 in Peruvian football,1981 in South American football leagues,Peruvian Primera División seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Westmeath geography stubs,Townlands of County Westmeath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphibian families,Prehistoric amphibian stubs,Trematosauroids,Triassic temnospondyls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990s romantic comedy film stubs,1990s romantic comedy films,1997 films,African-American films,American films,American romantic comedy films,English-language films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castles in Haute-Garonne,French castle stubs,Monuments historiques of Haute-Garonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooperative banks of Germany,Cooperative federations,Organisations based in Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 births,21st-century American botanists,American archaeologists,Archaeobotanists,Archaeologist stubs,Ethnobiologists,Living people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surnames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomologinae stubs,Bryotropha,Moths described in 2005,Moths of Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 albums,Tim Janis albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesalpinioideae,Flora of Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy district geography stubs,Villages in Ranga Reddy district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 establishments in New Hampshire,"Companies based in Strafford County, New Hampshire",Companies established in 2003,Travel-related organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010s Tamil-language television series,2017 Tamil-language television series debuts,2018 Tamil-language television seasons,2018 Tamil-language television series endings,MediaCorp Vasantham,Singapore Tamil dramas,Tamil-language television programs,Tamil-language television soap operas,Tamil crime television series,Tamil police television series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 California Collegiate Athletic Association football season,1951 in sports in California,California Collegiate Athletic Association football champion seasons,College football undefeated seasons,Pineapple Bowl champion seasons,San Diego State Aztecs football seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986 video games,Adventure games,Amstrad CPC games,Apple II games,Commodore 64 games,Puzzle video games,Video game stubs,Video games developed in Canada,ZX Spectrum games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former populated places in Nebraska,"Geography of Cedar County, Nebraska",Nebraska geography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Island geography stubs,Headlands of Greenwich Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 births,2015 deaths,21st-century American politicians,Businesspeople from West Virginia,Marshall University alumni,"People from Point Pleasant, West Virginia","People from Ripley, West Virginia",West Virginia Republicans,West Virginia politician stubs,West Virginia state senators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian male television actors,Australian stand-up comedians,Living people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County-level divisions of Fujian,Quanzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chittenden, Vermont","Towns in Rutland County, Vermont",Towns in Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee stubs,Hymenoptera of North America,Insects described in 1904,Megachilidae,Taxa named by Theodore Dru Alison Cockerell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California river stubs,"Rivers of Tehama County, California",Springs of California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 births,1968 deaths,20th-century women musicians,American female musicians,American ragtime musicians,Ragtime composers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Swedish television series debuts,Swedish crime television series,Swedish television programme stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merseyside-related lists,Towns and villages in the Metropolitan Borough of Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough of Tunbridge Wells,Civil parishes in Kent,Kent geography stubs,Villages in Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villages in Uherské Hradiště District,Zlín Region geography stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimming at the 2003 Pan American Games,Swimming stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 births,1979 deaths,Association football defenders,English Football League players,"English football defender, 1920s birth stubs",English footballers,Liverpool F.C. players,Manchester United F.C. players,Sportspeople from Salford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 films,Maldivian films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetles described in 1838,Trachyderini,Trachyderini stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851 deaths,9th-century Lombard people,9th-century rulers in Europe,Italian people stubs,Lombard warriors,Princes of Salerno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-Central Kansas geography stubs,"Unincorporated communities in Anderson County, Kansas",Unincorporated communities in Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 births,2019 deaths,20th-century English Anglican priests,"Alumni of Exeter College, Oxford","Alumni of Queens' College, Cambridge","Alumni of Ridley Hall, Cambridge",Christian apologists,Christian writers,English Anglican theologians,English Anglicans,"Fellows of Wycliffe Hall, Oxford",People educated at Clifton College,"Staff of St John's College, Nottingham",University of Toronto alumni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 births,2004 deaths,20th-century Australian novelists,20th-century Australian short story writers,20th-century Australian women writers,ALS Gold Medal winners,Australian Book Review people,Australian women novelists,Australian women short story writers,Miles Franklin Award winners,Patrick White Award winners,Writers from Brisbane,Writers from New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 establishments in Siam,Christian denominations established in the 20th century,Evangelical denominations in Asia,Members of the World Communion of Reformed Churches,Members of the World Council of Churches,Protestantism in Thailand,Religious organizations established in 1934,United and uniting churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aosta Valley geography stubs,Cities and towns in Aosta Valley,Communes of Aosta Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 births,De La Salle University alumni,Filipino Protestants,Filipino chief executives,Filipino lawyers,GMA Network (company) executives,Living people,People from Ermita,University of the Philippines Diliman alumni,Yale Law School alumni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972 births,Dutch judo biography stubs,Dutch male judoka,Judoka at the 2000 Summer Olympics,Living people,Olympic judoka of the Netherlands,People from Diemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buildings and structures in Columbia County, Arkansas",Commercial buildings completed in 1938,Hospital buildings on the National Register of Historic Places in Arkansas,"National Register of Historic Places in Columbia County, Arkansas",Southwest Arkansas Registered Historic Place stubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and structures in Chester,Grade II* listed buildings in Chester,Medieval architecture,Shops in Chester,Timber framed buildings in Cheshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
